IngredientsId,Ingredients,ServingSize,Calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Carbohydrate,Fiber,Sugars,Protein,Fat,Caffeine,Source,Date,IsAllergen,Food_allergen_ID,Food,Food_Class,Food_Type,Food_Group,Allergy_Type
103594,Red Licorice,,,,,,,,,,,,,,,No,,,,,,
103595,Fried Chinese Noodles,,,,,,,,,,,,,,,No,,,,,,
103596,Tootsie Roll,,,,,,,,,,,,,,,No,,,,,,
103597,Pretzel Stick,,,,,,,,,,,,,,,No,,,,,,
103598,Candy Corn,,,,,,,,,,,,,,,No,,,,,,
103599,Mixed Italian Herbs,,,,,,,,,,,,,,,No,,,,,,
103600,White Fish Fillets,,,,,,,,,,,,,,,No,,,,,,
103601,Irish Cream,,,,,,,,,,,,,,,No,,,,,,
103602,Hot Cocoa,,,,,,,,,,,,,,,No,,,,,,
103603,Pecan Nuts,,,,,,,,,,,,,,,No,,,,,,
103604,Kirsch,,,,,,,,,,,,,,,No,,,,,,
103605,Cooked Beets,,,,,,,,,,,,,,,No,,,,,,
103606,Pimento Pepper,,,,,,,,,,,,,,,No,,,,,,
103607,Prepared Topping,,,,,,,,,,,,,,,No,,,,,,
103608,Cornish Hens,,,,,,,,,,,,,,,No,,,,,,
103609,Frangelico,,,,,,,,,,,,,,,No,,,,,,
103610,Protein Powder,,,,,,,,,,,,,,,No,,,,,,
103611,Cinnamon Extract,,,,,,,,,,,,,,,No,,,,,,
103612,Chicken Wing Sauce,,,,,,,,,,,,,,,No,,,,,,
103613,Blue Cheese Dressing,,,,,,,,,,,,,,,No,,,,,,
103614,Boneless Beef Cube,,,,,,,,,,,,,,,No,,,,,,
103616,Chocolate Bar,,,,,,,,,,,,,,,No,,,,,,
103617,Whole Chicken Breasts,,,,,,,,,,,,,,,No,,,,,,
103618,French Style Green Bean,,,,,,,,,,,,,,,No,,,,,,
103619,Condensed Golden Mushroom Soup,,,,,,,,,,,,,,,No,,,,,,
103620,Hormel Dried Beef,,,,,,,,,,,,,,,No,,,,,,
103622,Strong Black Coffee,,,,,,,,,,,,,,,No,,,,,,
103623,Club Crackers,,,,,,,,,,,,,,,No,,,,,,
103624,Chocolate Squares,,,,,,,,,,,,,,,No,,,,,,
103625,Amaretto Liqueur,,,,,,,,,,,,,,,No,,,,,,
103626,Cointreau Liqueur,,,,,,,,,,,,,,,No,,,,,,
103627,Tia Maria,,,,,,,,,,,,,,,No,,,,,,
103628,Buttery Cracker,,,,,,,,,,,,,,,No,,,,,,
103629,Radishes,100 g,,,,,,3.40 g,1.6 g,1.6 g,0.28 mg,0.10 g,0.55 g,,,No,,,,,,
103630,Frisee,,,,,,,,,,,,,,,No,,,,,,
103631,Hot Mustard,,,,,,,,,,,,,,,No,,,,,,
103632,Roasted Deli Chicken,,,,,,,,,,,,,,,No,,,,,,
103633,Rolled Barley,,,,,,,,,,,,,,,No,,,,,,
103634,Deli Roast Beef,,,,,,,,,,,,,,,No,,,,,,
103635,Fresh Parsley Sprigs,,,,,,,,,,,,,,,No,,,,,,
103636,Spinach Tortellini,,,,,,,,,,,,,,,No,,,,,,
103637,Raspberry Vinaigrette Dressing,,,,,,,,,,,,,,,No,,,,,,
103638,Chorizo Sausage,,,,,,,,,,,,,,,No,,,,,,
103639,Coffee Liqueur,,,,,,,,,,,,,,,No,,,,,,
103640,Jellied Cranberry Sauce,,,,,,,,,,,,,,,No,,,,,,
103641,Cookies,100 g,,,,,,70.54 g,3.5 g,3.5 g,0.61 mg,10.58 g,2.03 g,,,No,,,,,,
103642,Beau Monde Spice,,,,,,,,,,,,,,,No,,,,,,
103643,Rib Eye Steaks,,,,,,,,,,,,,,,No,,,,,,
103644,Refrigerated Chocolate Chip Cookie Dough,,,,,,,,,,,,,,,No,,,,,,
103645,Butter Recipe Cake Mix,,,,,,,,,,,,,,,No,,,,,,
103646,Baileys Irish Cream,,,,,,,,,,,,,,,No,,,,,,
103647,White Chicken Meat Packed In Water,,,,,,,,,,,,,,,No,,,,,,
103648,Honey-Wheat Bread,,,,,,,,,,,,,,,No,,,,,,
103649,Whole Wheat Pasta,,,,,,,,,,,,,,,No,,,,,,
103650,Hot Red Chili Peppers,,,,,,,,,,,,,,,No,,,,,,
103651,Toasted Sliced Almonds,,,,,,,,,,,,,,,No,,,,,,
103652,Courgettes,,,,,,,,,,,,,,,No,,,,,,
103653,Fresh Edible Flowers,,,,,,,,,,,,,,,No,,,,,,
103654,Yellow Bell Peppers,,,,,,,,,,,,,,,No,,,,,,
103655,Orange Bell Peppers,,,,,,,,,,,,,,,No,,,,,,
103656,Pecorino Cheese,,,,,,,,,,,,,,,No,,,,,,
103657,Sausages,,,,,,,,,,,,,,,No,,,,,,
103658,Sour Mix,,,,,,,,,,,,,,,No,,,,,,
103659,Annatto Oil,,,,,,,,,,,,,,,No,,,,,,
103660,Dry Green Lentils,,,,,,,,,,,,,,,No,,,,,,
103661,Maida Flour,,,,,,,,,,,,,,,No,,,,,,
103662,Red Chili Paste,,,,,,,,,,,,,,,No,,,,,,
103663,Soya Sauce,,,,,,,,,,,,,,,No,,,,,,
103664,Spring Onion,,,,,,,,,,,,,,,No,,,,,,
103665,Fresh Coriander Leaves,,,,,,,,,,,,,,,No,,,,,,
103666,Roasting Bag,,,,,,,,,,,,,,,No,,,,,,
103667,Turkey Breast,100 g,,,,,,2.34 g,0.0 g,0.0 g,0.80 mg,2.37 g,3.13 g,,,No,,,,,,
103668,Mango Chutney,,,,,,,,,,,,,,,No,,,,,,
103669,Fig Preserves,,,,,,,,,,,,,,,No,,,,,,
103670,Challah,,,,,,,,,,,,,,,No,,,,,,
103671,Mascarpone,,,,,,,,,,,,,,,No,,,,,,
103672,Apricot Preserves,,,,,,,,,,,,,,,No,,,,,,
103673,Powdered Ginger,,,,,,,,,,,,,,,No,,,,,,
103674,Splenda Brown Sugar Blend,,,,,,,,,,,,,,,No,,,,,,
103675,Cremini Mushrooms,,,,,,,,,,,,,,,No,,,,,,
103676,Ovaltine,,,,,,,,,,,,,,,No,,,,,,
103677,Hersheys Chocolate Syrup,,,,,,,,,,,,,,,No,,,,,,
103678,Marshmallow Creme,,,,,,,,,,,,,,,No,,,,,,
103679,Mead,,,,,,,,,,,,,,,No,,,,,,
103680,Frozen Sliced Peaches,,,,,,,,,,,,,,,No,,,,,,
103681,Mint,,,,,,,,,,,,,,,No,,,,,,
103682,Kiwi Fruits,,,,,,,,,,,,,,,No,,,,,,
103683,Sweetened Flaked Coconut,,,,,,,,,,,,,,,No,,,,,,
103685,Thai Sweet Chili Sauce,,,,,,,,,,,,,,,No,,,,,,
103686,Sriracha Sauce,,,,,,,,,,,,,,,No,,,,,,
103687,Summer Squash,,,,,,,,,,,,,,,No,,,,,,
103688,Chips,,,,,,,,,,,,,,,No,,,,,,
103689,Mixed Sprouts,,,,,,,,,,,,,,,No,,,,,,
103690,Thangkwa,,,,,,,,,,,,,,,No,,,,,,
103691,Hom Daeng,,,,,,,,,,,,,,,No,,,,,,
103692,Nam Som Paep,,,,,,,,,,,,,,,No,,,,,,
103693,Haeo,,,,,,,,,,,,,,,No,,,,,,
103694,Prik Chi Fa Daeng,,,,,,,,,,,,,,,No,,,,,,
103695,Cranberry Liqueur,,,,,,,,,,,,,,,No,,,,,,
103696,Creme De Almond,,,,,,,,,,,,,,,No,,,,,,
103697,Milk Chocolate Kisses,,,,,,,,,,,,,,,No,,,,,,
103698,Fresh Cream,,,,,,,,,,,,,,,No,,,,,,
103699,Chutney,,,,,,,,,,,,,,,No,,,,,,
103700,Pickle Juice,,,,,,,,,,,,,,,No,,,,,,
103701,Vegetarian Sausages,,,,,,,,,,,,,,,No,,,,,,
103702,2% Cheddar Cheese,,,,,,,,,,,,,,,No,,,,,,
103703,Shortcut Bacon,,,,,,,,,,,,,,,No,,,,,,
103704,Frozen Whole Kernel Corn,,,,,,,,,,,,,,,No,,,,,,
103705,Reduced-Fat Ham,,,,,,,,,,,,,,,No,,,,,,
103706,Lowfat Swiss Cheese,,,,,,,,,,,,,,,No,,,,,,
103707,Instant Apple Cider Drink Mix,,,,,,,,,,,,,,,No,,,,,,
103708,Reduced-Fat Mayonnaise,,,,,,,,,,,,,,,No,,,,,,
103709,Reduced-Fat Swiss Cheese,,,,,,,,,,,,,,,No,,,,,,
103710,Cooking Apples,,,,,,,,,,,,,,,No,,,,,,
103711,Frozen Chopped Broccoli,,,,,,,,,,,,,,,No,,,,,,
103712,Low Calorie Catalina Salad Dressing,,,,,,,,,,,,,,,No,,,,,,
103713,Parrot Bay Coconut Rum,,,,,,,,,,,,,,,No,,,,,,
103714,Malibu Rum,,,,,,,,,,,,,,,No,,,,,,
103715,Reduced-Fat Oreo Cookies,,,,,,,,,,,,,,,No,,,,,,
103717,Caramel Ice Cream Topping,,,,,,,,,,,,,,,No,,,,,,
103718,French Vanilla Ice Cream,,,,,,,,,,,,,,,No,,,,,,
103719,Chocolate Chip Cookie Mix,,,,,,,,,,,,,,,No,,,,,,
103720,Blood Oranges,,,,,,,,,,,,,,,No,,,,,,
103721,Tangerine,,,,,,,,,,,,,,,No,,,,,,
103722,White Grapefruit,,,,,,,,,,,,,,,No,,,,,,
103723,Red Grapefruit,,,,,,,,,,,,,,,No,,,,,,
103724,Key Lime Juice,,,,,,,,,,,,,,,No,,,,,,
103725,Hamburger Meat,,,,,,,,,,,,,,,No,,,,,,
103726,Pimentos,,,,,,,,,,,,,,,No,,,,,,
103727,Port Wine,,,,,,,,,,,,,,,No,,,,,,
103728,Single Trifle Sponge Cakes,,,,,,,,,,,,,,,No,,,,,,
103729,Madeira Wine,,,,,,,,,,,,,,,No,,,,,,
103730,Golden Caster Sugar,,,,,,,,,,,,,,,No,,,,,,
103731,Clotted Cream,,,,,,,,,,,,,,,No,,,,,,
103732,Vanilla Pod,,,,,,,,,,,,,,,No,,,,,,
103733,Rose Petal,,,,,,,,,,,,,,,No,,,,,,
103734,Chocolate Wafers,,,,,,,,,,,,,,,No,,,,,,
103735,Chocolate Shavings,,,,,,,,,,,,,,,No,,,,,,
103736,Allspice Berry,,,,,,,,,,,,,,,No,,,,,,
103737,Golden Raisin,,,,,,,,,,,,,,,No,,,,,,
103738,Citrus Peel,,,,,,,,,,,,,,,No,,,,,,
103739,Littleneck Clams,,,,,,,,,,,,,,,No,,,,,,
103740,Dry White Vermouth,,,,,,,,,,,,,,,No,,,,,,
103741,Bottled Clam Broth,,,,,,,,,,,,,,,No,,,,,,
103742,Dry Vegetable Soup Mix,,,,,,,,,,,,,,,No,,,,,,
103743,Salsa Ranch Dressing,,,,,,,,,,,,,,,No,,,,,,
103744,Orange Sections,,,,,,,,,,,,,,,No,,,,,,
103745,Simple Syrup,,,,,,,,,,,,,,,No,,,,,,
103746,Greek Oregano,,,,,,,,,,,,,,,No,,,,,,
103747,Hazelnut-Flavored Liqueur,,,,,,,,,,,,,,,No,,,,,,
103748,Chocolate-Covered Coffee Beans,,,,,,,,,,,,,,,No,,,,,,
103749,Tart Red Cherries,,,,,,,,,,,,,,,No,,,,,,
103750,Kirschwasser,,,,,,,,,,,,,,,No,,,,,,
103752,Sugar-Free Peach Gelatin Mix,,,,,,,,,,,,,,,No,,,,,,
103753,Low-Fat Ricotta Cheese,,,,,,,,,,,,,,,No,,,,,,
103754,Nicoise Olive,,,,,,,,,,,,,,,No,,,,,,
103756,Vanilla Wafer,,,,,,,,,,,,,,,No,,,,,,
103757,Broad Bean,,,,,,,,,,,,,,,No,,,,,,
103758,Asparagus Spears,,,,,,,,,,,,,,,No,,,,,,
103759,Green Cardamom Pods,,,,,,,,,,,,,,,No,,,,,,
103760,Cumin Seed,,,,,,,,,,,,,,,No,,,,,,
103761,Lemon Wedge,,,,,,,,,,,,,,,No,,,,,,
103762,Guinness Stout,,,,,,,,,,,,,,,No,,,,,,
103763,Ginger Paste,,,,,,,,,,,,,,,No,,,,,,
103764,Garlic Paste,,,,,,,,,,,,,,,No,,,,,,
103765,Potato Salad,100 g,,,,,,11.17 g,1.3 g,1.3 g,0.31 mg,8.20 g,1.95 g,,,No,,,,,,
103766,Camembert Cheese,,,,,,,,,,,,,,,No,,,,,,
103767,Roquefort Cheese,,,,,,,,,,,,,,,No,,,,,,
103768,Stilton Cheese,,,,,,,,,,,,,,,No,,,,,,
103769,Lemon Thyme Leaves,,,,,,,,,,,,,,,No,,,,,,
103770,Perch Fillets,,,,,,,,,,,,,,,No,,,,,,
103771,Vinegar Potato Chips,,,,,,,,,,,,,,,No,,,,,,
103772,Lard,100 g,,,,,,0.00 g,0.0 g,0.0 g,0.11 mg,100.00 g,0.00 g,,,No,,,,,,
103773,Low-Fat Cream Of Chicken Soup,,,,,,,,,,,,,,,No,,,,,,
103774,Cooked Brown Rice,,,,,,,,,,,,,,,No,,,,,,
103775,Vegetable Drumsticks,,,,,,,,,,,,,,,No,,,,,,
103776,Ladyfingers,,,,,,,,,,,,,,,No,,,,,,
103777,White Pumpkin,,,,,,,,,,,,,,,No,,,,,,
103778,Gram Flour,,,,,,,,,,,,,,,No,,,,,,
103779,Asafoetida Powder,,,,,,,,,,,,,,,No,,,,,,
103780,Tamarind Pulp,,,,,,,,,,,,,,,No,,,,,,
103781,Sour Dill Pickles,,,,,,,,,,,,,,,No,,,,,,
103782,Greek Olives,,,,,,,,,,,,,,,No,,,,,,
103783,Hoagie Rolls,,,,,,,,,,,,,,,No,,,,,,
103784,Rib Eye,,,,,,,,,,,,,,,No,,,,,,
103785,Garlic And Cheese Flavored Croutons,,,,,,,,,,,,,,,No,,,,,,
103786,Fresh Carrot,,,,,,,,,,,,,,,No,,,,,,
103787,Pickles,100 g,,,,,,2.26 g,1.2 g,1.2 g,0.02 mg,0.20 g,3.13 g,,,No,,,,,,
103788,Fresh Breadcrumbs,,,,,,,,,,,,,,,No,,,,,,
103789,Canned Pumpkin Puree,,,,,,,,,,,,,,,No,,,,,,
103790,Flaked Sea Salt,,,,,,,,,,,,,,,No,,,,,,
103791,Vinaigrette Dressing,,,,,,,,,,,,,,,No,,,,,,
103792,Sea Scallops,,,,,,,,,,,,,,,No,,,,,,
103793,Blue Corn Tortillas,,,,,,,,,,,,,,,No,,,,,,
103794,Tea Bags,,,,,,,,,,,,,,,No,,,,,,
103795,Frozen White Bread Dough,,,,,,,,,,,,,,,No,,,,,,
103796,Red Lentils,,,,,,,,,,,,,,,No,,,,,,
103797,Uncooked Rice,,,,,,,,,,,,,,,No,,,,,,
103798,Puff Pastry,100 g,,,,,,45.10 g,1.5 g,1.5 g,0.53 mg,38.10 g,1.00 g,,,No,,,,,,
103799,Chipotle Pepper,,,,,,,,,,,,,,,No,,,,,,
103800,Baby Arugula,,,,,,,,,,,,,,,No,,,,,,
103801,Dried Italian Herb Seasoning,,,,,,,,,,,,,,,No,,,,,,
103802,Microwave Popcorn,,,,,,,,,,,,,,,No,,,,,,
103803,Hot Dog Bun,,,,,,,,,,,,,,,No,,,,,,
103804,Preserved Gingerroot,,,,,,,,,,,,,,,No,,,,,,
103805,Chicken Thigh Fillet,,,,,,,,,,,,,,,No,,,,,,
103806,Brown Onions,,,,,,,,,,,,,,,No,,,,,,
103807,Coriander Leaves,,,,,,,,,,,,,,,No,,,,,,
103808,Tangerine Juice,100 g,,,,,,10.10 g,0.2 g,0.2 g,0.03 mg,0.20 g,0.30 g,,,No,,,,,,
103809,Apricot Nectar,100 g,,,,,,14.39 g,0.6 g,0.6 g,0.09 mg,0.09 g,0.29 g,,,No,,,,,,
103810,Navel Oranges,,,,,,,,,,,,,,,No,,,,,,
103811,Red Grapefruits,,,,,,,,,,,,,,,No,,,,,,
103812,Seedless Grapes,,,,,,,,,,,,,,,No,,,,,,
103813,Unsweetened Orange Juice,,,,,,,,,,,,,,,No,,,,,,
103814,Fresh Spearmint,,,,,,,,,,,,,,,No,,,,,,
103815,Soft Tofu,,,,,,,,,,,,,,,No,,,,,,
103816,Canned Beef Broth,,,,,,,,,,,,,,,No,,,,,,
103817,Alphabet Pasta,,,,,,,,,,,,,,,No,,,,,,
103818,Canned Artichoke Hearts,,,,,,,,,,,,,,,No,,,,,,
103820,Karo Syrup,,,,,,,,,,,,,,,No,,,,,,
103821,Vegetarian Chicken Broth,,,,,,,,,,,,,,,No,,,,,,
103822,Whole Mushrooms,,,,,,,,,,,,,,,No,,,,,,
103823,Seasoned Stuffing Mix,,,,,,,,,,,,,,,No,,,,,,
103824,Superfine Sugar,,,,,,,,,,,,,,,No,,,,,,
103825,Hot Chili Powder,,,,,,,,,,,,,,,No,,,,,,
103826,Whole Meal Bread,,,,,,,,,,,,,,,No,,,,,,
103827,Streaky Bacon,,,,,,,,,,,,,,,No,,,,,,
103828,Small Caper,,,,,,,,,,,,,,,No,,,,,,
103829,Gnocchi,,,,,,,,,,,,,,,No,,,,,,
103830,Cooked Boneless Skinless Chicken Breasts,,,,,,,,,,,,,,,No,,,,,,
103831,Dijon-Style Mustard,,,,,,,,,,,,,,,No,,,,,,
103832,Cooked Wild Rice,,,,,,,,,,,,,,,No,,,,,,
103833,Lean Stewing Beef,,,,,,,,,,,,,,,No,,,,,,
103834,Vegetable Suet,,,,,,,,,,,,,,,No,,,,,,
103835,Whole Black Peppercorns,,,,,,,,,,,,,,,No,,,,,,
103836,Flat-Leaf Italian Parsley,,,,,,,,,,,,,,,No,,,,,,
103837,Sausage Meat,,,,,,,,,,,,,,,No,,,,,,
103838,Crescent Rolls,,,,,,,,,,,,,,,No,,,,,,
103839,Hamburger Bun With Sesame Seeds,,,,,,,,,,,,,,,No,,,,,,
103841,Frankfurter,100 g,,,,,,7.70 g,3.9 g,3.9 g,1.20 mg,13.73 g,0.97 g,,,No,,,,,,
103842,Hamburger Relish,,,,,,,,,,,,,,,No,,,,,,
103843,Root Beer Concentrate,,,,,,,,,,,,,,,No,,,,,,
103844,Dried Prune,,,,,,,,,,,,,,,No,,,,,,
103845,Hidden Valley Ranch Dressing Mix,,,,,,,,,,,,,,,No,,,,,,
103846,Acorn Squash,,,,,,,,,,,,,,,No,,,,,,
103848,Bouillon Cube,,,,,,,,,,,,,,,No,,,,,,
103849,Black Cherries,,,,,,,,,,,,,,,No,,,,,,
103850,Double Cream Brie Cheese,,,,,,,,,,,,,,,No,,,,,,
103851,Puff Pastry Shells,,,,,,,,,,,,,,,No,,,,,,
103852,Skirt Steaks,,,,,,,,,,,,,,,No,,,,,,
103853,Chicken Leg Quarters,,,,,,,,,,,,,,,No,,,,,,
103854,Underblade Steak,,,,,,,,,,,,,,,No,,,,,,
103855,Grey Poupon Dijon Mustard,,,,,,,,,,,,,,,No,,,,,,
103856,Boneless Beef Steaks,,,,,,,,,,,,,,,No,,,,,,
103857,Steak,,,,,,,,,,,,,,,No,,,,,,
103858,Shell Steaks,,,,,,,,,,,,,,,No,,,,,,
103859,Fresh Cranberries,,,,,,,,,,,,,,,No,,,,,,
103860,Apple Juice Concentrate,,,,,,,,,,,,,,,No,,,,,,
103861,Dry Buttermilk,,,,,,,,,,,,,,,No,,,,,,
103862,Bologna,100 g,,,,,,4.68 g,0.5 g,0.5 g,1.30 mg,16.05 g,3.30 g,,,No,,,,,,
103863,Cilantro Leaves,,,,,,,,,,,,,,,No,,,,,,
103864,Fresh Coconut,,,,,,,,,,,,,,,No,,,,,,
103865,Figs,100 g,,,,,,63.87 g,9.8 g,9.8 g,0.55 mg,0.93 g,1.86 g,,,No,,,,,,
103866,Whole Wheat Couscous,,,,,,,,,,,,,,,No,,,,,,
103867,Puff Pastry Sheet,,,,,,,,,,,,,,,No,,,,,,
103868,White Sesame Seeds,,,,,,,,,,,,,,,No,,,,,,
103869,Wonton Wrappers,,,,,,,,,,,,,,,No,,,,,,
103870,Chuck Eye Steak,,,,,,,,,,,,,,,No,,,,,,
103871,Boysenberry Jam,,,,,,,,,,,,,,,No,,,,,,
103872,Instant Polenta,,,,,,,,,,,,,,,No,,,,,,
103873,Cauliflower Head,,,,,,,,,,,,,,,No,,,,,,
103874,Dungeness Crabmeat,,,,,,,,,,,,,,,No,,,,,,
103875,Croissants,100 g,,,,,,47.00 g,2.6 g,2.6 g,0.94 mg,20.90 g,1.90 g,,,No,,,,,,
103876,Roasted Potatoes,,,,,,,,,,,,,,,No,,,,,,
103877,Cubanelle Pepper,,,,,,,,,,,,,,,No,,,,,,
103878,Beef Steak,,,,,,,,,,,,,,,No,,,,,,
103879,Top Round Steak,,,,,,,,,,,,,,,No,,,,,,
103880,Cheez-It Crackers,,,,,,,,,,,,,,,No,,,,,,
103881,Heinz Ketchup,,,,,,,,,,,,,,,No,,,,,,
103882,Pickled Jalapeno Peppers,,,,,,,,,,,,,,,No,,,,,,
103883,Chicken Stock Cube,,,,,,,,,,,,,,,No,,,,,,
103884,Jars,,,,,,,,,,,,,,,No,,,,,,
103885,Fried Onions,,,,,,,,,,,,,,,No,,,,,,
103886,Pineapple Rings,,,,,,,,,,,,,,,No,,,,,,
103887,Polenta,,,,,,,,,,,,,,,No,,,,,,
103888,Porterhouse Steaks,,,,,,,,,,,,,,,No,,,,,,
103889,Lamb Shoulder,,,,,,,,,,,,,,,No,,,,,,
103890,Dried Limes,,,,,,,,,,,,,,,No,,,,,,
103891,Mint Leaves,,,,,,,,,,,,,,,No,,,,,,
103892,Fresh Mango,,,,,,,,,,,,,,,No,,,,,,
103893,Clear Honey,,,,,,,,,,,,,,,No,,,,,,
103894,Mango Pulp,,,,,,,,,,,,,,,No,,,,,,
103895,Cardamom Powder,,,,,,,,,,,,,,,No,,,,,,
103896,Green Mangoes,,,,,,,,,,,,,,,No,,,,,,
103897,Mustard Oil,,,,,,,,,,,,,,,No,,,,,,
103898,Dried Red Chilies,,,,,,,,,,,,,,,No,,,,,,
103899,Bengali Five-Spice Mix,,,,,,,,,,,,,,,No,,,,,,
103900,Powdered Cumin,,,,,,,,,,,,,,,No,,,,,,
103901,Focaccia Bread,,,,,,,,,,,,,,,No,,,,,,
103902,Beetroot,,,,,,,,,,,,,,,No,,,,,,
103903,Sweet Relish,,,,,,,,,,,,,,,No,,,,,,
103904,Light Chunk Tuna In Water,,,,,,,,,,,,,,,No,,,,,,
103905,Green Chili Pepper,,,,,,,,,,,,,,,No,,,,,,
103906,Fresh Goat Cheese,,,,,,,,,,,,,,,No,,,,,,
103907,Naan Bread,,,,,,,,,,,,,,,No,,,,,,
103908,Semolina Flour,,,,,,,,,,,,,,,No,,,,,,
103909,Cardamom Pod,,,,,,,,,,,,,,,No,,,,,,
103910,Pink Food Coloring,,,,,,,,,,,,,,,No,,,,,,
103911,Fresh Water,,,,,,,,,,,,,,,No,,,,,,
103912,Pistachios,,,,,,,,,,,,,,,No,,,,,,
103913,Brown Lentils,,,,,,,,,,,,,,,No,,,,,,
103914,Beet,,,,,,,,,,,,,,,No,,,,,,
103915,Pomegranate Syrup,,,,,,,,,,,,,,,No,,,,,,
103916,Wheat,100 g,,,,,,75.90 g,12.2 g,12.2 g,3.33 mg,1.71 g,1.52 g,,,Yes,FA179,Wheat,Plant origin,Cereal grain and pulse,Cereal grain,Gluten Allergy
103917,Yellow Split Peas,,,,,,,,,,,,,,,No,,,,,,
103918,Ground Conch,,,,,,,,,,,,,,,No,,,,,,
103919,Roux,,,,,,,,,,,,,,,No,,,,,,
103920,Lemon Pepper,,,,,,,,,,,,,,,No,,,,,,
103921,Dairy-Free Margarine,,,,,,,,,,,,,,,No,,,,,,
103922,Lemon Basil,,,,,,,,,,,,,,,No,,,,,,
103923,Summer Sausage,,,,,,,,,,,,,,,No,,,,,,
103924,Submarine Bun,,,,,,,,,,,,,,,No,,,,,,
103925,Butter Flavor Extract,,,,,,,,,,,,,,,No,,,,,,
103926,Mixed Salad Greens,,,,,,,,,,,,,,,No,,,,,,
103927,Sweet White Onion,,,,,,,,,,,,,,,No,,,,,,
103928,Dried Blueberries,,,,,,,,,,,,,,,No,,,,,,
103929,King Prawns,,,,,,,,,,,,,,,No,,,,,,
103930,Chicken Breast Fillet,,,,,,,,,,,,,,,No,,,,,,
103931,Chicken Consomme,,,,,,,,,,,,,,,No,,,,,,
103932,Evaporated 2% Milk,,,,,,,,,,,,,,,No,,,,,,
103933,Broccoli Coleslaw Mix,,,,,,,,,,,,,,,No,,,,,,
103934,Low-Fat Ranch Dressing,,,,,,,,,,,,,,,No,,,,,,
103935,Wheat Bran,100 g,,,,,,64.51 g,42.8 g,42.8 g,7.27 mg,4.25 g,5.79 g,,,No,,,,,,
103936,Multigrain Bread,,,,,,,,,,,,,,,No,,,,,,
103937,Alpha-Bits Cereal,,,,,,,,,,,,,,,No,,,,,,
103938,Smarties Candies,,,,,,,,,,,,,,,No,,,,,,
103939,Caramel Popped Popcorn,,,,,,,,,,,,,,,No,,,,,,
103940,Small Pretzels,,,,,,,,,,,,,,,No,,,,,,
103941,Frozen Whole Strawberries,,,,,,,,,,,,,,,No,,,,,,
103942,Low-Fat Whipping Cream,,,,,,,,,,,,,,,No,,,,,,
103943,Dried Yeast,,,,,,,,,,,,,,,No,,,,,,
103944,Dried White Bean,,,,,,,,,,,,,,,No,,,,,,
103945,Dried Lemons,,,,,,,,,,,,,,,No,,,,,,
103947,White Bread Flour,,,,,,,,,,,,,,,No,,,,,,
103948,Nonfat Dry Milk Solids,,,,,,,,,,,,,,,No,,,,,,
103949,Blanched Almonds,,,,,,,,,,,,,,,No,,,,,,
103950,Sweet Whole Kernel Corn,,,,,,,,,,,,,,,No,,,,,,
103951,Mexican-Style Stewed Tomatoes,,,,,,,,,,,,,,,No,,,,,,
103952,Vanilla Whey Protein Powder,,,,,,,,,,,,,,,No,,,,,,
103953,Nonfat Plain Yogurt,,,,,,,,,,,,,,,No,,,,,,
103954,Low-Fat Vanilla Yogurt,,,,,,,,,,,,,,,No,,,,,,
103955,Quick-Cooking Oatmeal,,,,,,,,,,,,,,,No,,,,,,
103956,Chocolate Whey Protein Powder,,,,,,,,,,,,,,,No,,,,,,
103957,Butterscotch Schnapps,,,,,,,,,,,,,,,No,,,,,,
103958,Peach Vodka,,,,,,,,,,,,,,,No,,,,,,
103959,Curacao,,,,,,,,,,,,,,,No,,,,,,
103960,Soho Lychee Liqueur,,,,,,,,,,,,,,,No,,,,,,
103961,Lime Cordial,,,,,,,,,,,,,,,No,,,,,,
103962,Tea,100 g,,,,,,0.00 g,0,0,0,0.20 g,0.13 g,,,Yes,FA166,Tea,Plant origin,Tea,Tea,Tannin Allergy
103963,Fresh Raspberry,,,,,,,,,,,,,,,No,,,,,,
103964,Noilly Prat,,,,,,,,,,,,,,,No,,,,,,
103965,Peach Liqueur,,,,,,,,,,,,,,,No,,,,,,
103966,Grapefruit,100 g,,,,,,9.09 g,0,0,0.07 mg,0.10 g,0.35 g,,,Yes,FA064,Grapefruit,Plant origin,Fruit,Citrus fruit / citric acid,Citrus Allergy
103967,White Chocolate Liqueur,,,,,,,,,,,,,,,No,,,,,,
103968,Seville Oranges,,,,,,,,,,,,,,,No,,,,,,
103969,Yucca Root,,,,,,,,,,,,,,,No,,,,,,
103970,Plantains,100 g,,,,,,31.15 g,2.3 g,2.3 g,0.13 mg,0.18 g,0.58 g,,,No,,,,,,
103971,Crystal Light Orange Drink Mix,,,,,,,,,,,,,,,No,,,,,,
103972,Sugar-Free Raspberry Gelatin,,,,,,,,,,,,,,,No,,,,,,
103973,Meatballs,100 g,,,,,,8.00 g,4.6 g,4.6 g,1.80 mg,9.00 g,4.00 g,,,No,,,,,,
103974,Grape Jelly,,,,,,,,,,,,,,,No,,,,,,
103975,Absolut Mandarin Vodka,,,,,,,,,,,,,,,No,,,,,,
103976,Crystallized Ginger,,,,,,,,,,,,,,,No,,,,,,
103977,Urad Dal,,,,,,,,,,,,,,,No,,,,,,
103978,Garam Masala Powder,,,,,,,,,,,,,,,No,,,,,,
